index,date,number,mean,std
0,2022-04-13,1013,2883.55,1300.0
1,2022-04-14,1014,2868.03,1302.5
2,2022-04-15,1030,2844.12,1400.0
3,2022-04-15,974,2852.54,1302.5
4,2022-04-20,973,2727.76,1300.0
5,2022-04-21,987,2745.88,1300.0
6,2022-04-21,794,2328.33,1150.0
7,2022-04-23,776,2320.0,1175.75
8,2022-04-24,761,2274.43,1100.0
9,2022-04-25,798,2314.09,1150.0
10,2022-04-26,822,2310.59,1200.0
11,2022-04-27,857,2296.53,1199.0
12,2022-05-01,850,2251.71,1150.0
13,2022-05-04,832,2351.15,1100.0
14,2022-05-05,935,2340.12,1200.0
15,2022-05-07,940,2320.21,1112.5
16,2022-05-08,941,2310.37,1199.5
17,2022-05-09,960,2353.49,1100.0
18,2022-05-10,942,2358.31,1100.0
19,2022-05-11,986,2346.17,1057.5
20,2022-05-12,989,2349.01,1100.0
21,2022-05-13,985,2349.99,1099.0
22,2022-05-14,988,2340.5,1100.0
23,2022-05-15,974,2253.7,1100.0
24,2022-05-16,964,2299.6,1050.0
25,2022-05-17,970,2318.44,1050.0
26,2022-05-18,966,2300.51,1000.0
27,2022-05-19,969,2354.15,1100.0
28,2022-05-20,973,2350.05,1100.0
29,2022-05-21,979,2354.89,1099.25
30,2022-05-22,972,2333.89,1100.0
31,2022-05-23,972,2294.89,1100.0
32,2022-05-24,994,2373.59,1100.0
33,2022-05-25,979,2409.93,1003.25
34,2022-05-26,957,2401.9,1000.0
35,2022-05-27,962,2396.58,1000.0
36,2022-05-29,964,2374.83,950.0
37,2022-05-30,975,2417.8,992.25
38,2022-05-30,973,2413.64,950.0
39,2022-05-31,974,2411.11,950.0
40,2022-06-01,979,2407.69,950.0
41,2022-06-02,945,2368.64,900.0
42,2022-06-03,1140,2376.17,950.0
